,Unnamed: 0,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,cleaned_tweets,Polarity,Sentiment
10,10,1463692696246231045,1463692696246231045,1637806507000.0,2021-11-24 21:15:07,-500,,Please sign/share to help stop the DP in FL!! thx! &lt;3   https://t.co/BBkeonnJOJ  #DeathPenalty  #EndtheDeathPenalty  @GovDeSantis,en,"['deathpenalty', 'endthedeathpenalty']",[],1447048938687762434,1447048938687762434,icelady1392us11,icelady1392us1392,3,21,https://twitter.com/icelady1392us11/status/1463692696246231045,['https://bit.ly/3HQl9qC'],[],0,,False,0,0,0,,None,,,,,,,[],,,,,please signshare to help stop the dp in fl thx lt3 deathpenalty endthedeathpenalty ,0.0,neutral
11,11,1463606776968871940,1463606776968871940,1637786022000.0,2021-11-24 15:33:42,-500,,"You can't mix Holy with world. Only 1 God. Only 1 way to Him - &amp;  it's not through Mary. Street preaching at Pantheon in Rome with Phillip Blair for ToCM 24 Nov 2021 (15'48"") #Rome #Pantheon #Repent #Jesus #HolySpirit #God #Mary #Galileo #DeathPenalty  https://t.co/Z2nQG1NFTe",en,"['rome', 'pantheon', 'repent', 'jesus', 'holyspirit', 'god', 'mary', 'galileo', 'deathpenalty']",[],1178055397791293440,1178055397791293440,C3Consulting1,C3 Consulting,3,15,https://twitter.com/C3Consulting1/status/1463606776968871940,['https://www.youtube.com/watch?v=6y9CdOw8qCs'],[],0,,False,0,0,0,,None,,,,,,,[],,,,,you cant mix holy with world only 1 god only 1 way to him  amp its not through mary street preaching at pantheon in rome with phillip blair for tocm 24 nov 2021 1548 rome pantheon repent jesus holyspirit god mary galileo deathpenalty ,0.0,neutral
12,12,1463593722507980805,1462890019492745216,1637782910000.0,2021-11-24 14:41:50,-500,,@shannonrwatts #DeathPenalty For #DarrellBrooks   @GovEvers #wisconsinparade   Keeping that mass murderer alive for years + spending tons of money and time IS WRONG!   Use the resources to help the victims!,en,"['deathpenalty', 'darrellbrooks', 'wisconsinparade']",[],1445824136488439813,1445824136488439813,g74459419,HAPPY TALES ⭐️,3,14,https://twitter.com/g74459419/status/1463593722507980805,[],[],0,,False,0,0,0,,None,,,,,,,"[{'screen_name': 'shannonrwatts', 'name': 'Shannon Watts', 'id': '246939630'}]",,,,, deathpenalty for darrellbrooks wisconsinparade keeping that mass murderer alive for years  spending tons of money and time is wrong use the resources to help the victims,-0.340625,negative
13,13,1463592329172848646,1463592329172848646,1637782578000.0,2021-11-24 14:36:18,-500,,".@GovEvers   “I am against the death penalty in most cases, however I would be more then happy to send this man to hell where he belongs!!! God have NO mercy on his soul!”  #DeathPenalty #DarrellBrooks   #wisconsinparade",en,"['deathpenalty', 'darrellbrooks', 'wisconsinparade']",[],1445824136488439813,1445824136488439813,g74459419,HAPPY TALES ⭐️,3,14,https://twitter.com/g74459419/status/1463592329172848646,[],[],0,,False,2,0,1,https://twitter.com/jasoncollinsmpa/status/1463010758296588292,None,,,,,,,[],,,,, “i am against the death penalty in most cases however i would be more then happy to send this man to hell where he belongs god have no mercy on his soul” deathpenalty darrellbrooks wisconsinparade,0.6666666666666666,positive
14,14,1463591397626245121,1463591397626245121,1637782356000.0,2021-11-24 14:32:36,-500,,.@GovEvers   You MUST Impose  #DeathPenalty  #DarrellBrooks   To house/feed this  Mass Murderer is a SLAP IN THE FACE to all of us!!,en,"['deathpenalty', 'darrellbrooks']",[],1445824136488439813,1445824136488439813,g74459419,HAPPY TALES ⭐️,3,14,https://twitter.com/g74459419/status/1463591397626245121,[],[],0,,False,0,0,0,https://twitter.com/beyouonlybetter/status/1462746242757410818,None,,,,,,,[],,,,, you must impose deathpenalty darrellbrooks to housefeed this mass murderer is a slap in the face to all of us,0.0,neutral
15,15,1463590655746211844,1463590655746211844,1637782179000.0,2021-11-24 14:29:39,-500,,.@GovEvers   In this case You MUST impose #DeathPenalty #DarrellBrooks   Spending THOUSANDS of #taxpayers $$$  and THOUSANDS of hours to keep this mass murderer alive IS WRONG!!!   Instead wasting money and time on him —  use that to help the Victims!,en,"['deathpenalty', 'darrellbrooks', 'taxpayers']",[],1445824136488439813,1445824136488439813,g74459419,HAPPY TALES ⭐️,3,14,https://twitter.com/g74459419/status/1463590655746211844,[],[],0,,False,0,0,0,https://twitter.com/a_holidae/status/1463002300054708228,None,,,,,,,[],,,,, in this case you must impose deathpenalty darrellbrooks spending thousands of taxpayers  and thousands of hours to keep this mass murderer alive is wrong instead wasting money and time on him — use that to help the victims,-0.45,negative
16,16,1463585611445641218,1463585611445641218,1637780976000.0,2021-11-24 14:09:36,-500,,This is gut wrenching 😩 that poor little boy 😢 how anyone can subject a defenceless child to these extremes is beyond me #deathpenalty,en,['deathpenalty'],[],811500800,811500800,ChrisHoopss,Chris,3,14,https://twitter.com/ChrisHoopss/status/1463585611445641218,[],[],0,,False,0,0,0,https://twitter.com/TonyBellew/status/1463442198385643521,None,,,,,,,[],,,,,this is gut wrenching 😩 that poor little boy 😢 how anyone can subject a defenceless child to these extremes is beyond me deathpenalty,-0.2513888888888889,negative
17,17,1463583559000621057,1463583559000621057,1637780487000.0,2021-11-24 14:01:27,-500,,"Correction: the 3 guys are guilty of #lynching.  What disgusting, despicable excuses for human beings! I'm 100% opposed to the #DeathPenalty, but if anyone were deserving....  All 3 men guilty of murder in the killing of #AhmaudArbery.  #AhmaudArberyTrial   https://t.co/Fc05cSdSKk",en,"['lynching', 'deathpenalty', 'ahmaudarbery', 'ahmaudarberytrial']",[],1278963595,1278963595,johnmerzetti,John Merzetti 🇨🇦🇲🇽🇮🇹,3,14,https://twitter.com/johnmerzetti/status/1463583559000621057,['https://www.cnn.com/webview/us/live-news/ahmaud-arbery-killing-trial-verdict-watch-11-24-21/index.html?iid=cnn-mobile-app'],[],0,,False,1,0,0,,None,,,,,,,[],,,,,correction the 3 guys are guilty of lynching what disgusting despicable excuses for human beings im 100 opposed to the deathpenalty but if anyone were deserving all 3 men guilty of murder in the killing of ahmaudarbery ahmaudarberytrial ,-0.27999999999999997,negative
18,18,1463581175352492033,1463581175352492033,1637779918000.0,2021-11-24 13:51:58,-500,,"7 yrs ago I asked if @SusanSarandon wld made a little video greeting for @helenprejean when she rec’d @PFADP’s Rev. Robert E. Seymour award at our banquet. That’s Bob in the background, a great community leader, &amp; @ZachWard, who emceed, next to Sr Helen. #chapelhill #deathpenalty  https://t.co/pYBka99k2b",en,"['chapelhill', 'deathpenalty']",[],61008746,61008746,SteveDear,steve dear,3,13,https://twitter.com/SteveDear/status/1463581175352492033,[],['https://pbs.twimg.com/media/FE-vUErVkAMfOZd.jpg'],1,https://pbs.twimg.com/media/FE-vUErVkAMfOZd.jpg,False,1,0,0,,None,,,,,,,[],,,,,7 yrs ago i asked if wld made a little video greeting for when she rec’d ’s rev robert e seymour award at our banquet that’s bob in the background a great community leader amp  who emceed next to sr helen chapelhill deathpenalty ,0.2041666666666667,positive
19,19,1463567681756479495,1463567681756479495,1637776701000.0,2021-11-24 12:58:21,-500,,Who Is #PervisPayne? #Tennessee Man Freed From Death Row Due to Intellectual Disability.  https://t.co/Ra1a9g8jat @Newsweek @khaleda @kelleyjhenry @Tndeathpenalty @DPInfoCtr #deathpenalty,en,"['pervispayne', 'tennessee', 'deathpenalty']",[],2859022449,2859022449,RDunhamDPIC,Robert Dunham,3,12,https://twitter.com/RDunhamDPIC/status/1463567681756479495,['https://www.newsweek.com/pervis-payne-inmate-freed-death-row-intellectual-disability-tennessee-1652845'],[],0,,False,3,0,1,,None,,,,,,,[],,,,,who is pervispayne tennessee man freed from death row due to intellectual disability deathpenalty,0.0875,neutral
20,20,1463567285642309646,1463567285642309646,1637776607000.0,2021-11-24 12:56:47,-500,,"Editorial: #JuliusJones’s life is spared, but he shouldn’t have to spend the rest of it in prison.  https://t.co/WWhMQaTh6v @washingtonpost @justice4julius @DPInfoCtr #deathpenalty",en,"['juliusjones', 'deathpenalty']",[],2859022449,2859022449,RDunhamDPIC,Robert Dunham,3,12,https://twitter.com/RDunhamDPIC/status/1463567285642309646,['https://www.washingtonpost.com/opinions/2021/11/23/julius-joness-life-is-spared-he-shouldnt-have-spend-rest-it-prison/'],[],0,,False,3,0,3,,None,,,,,,,[],,,,,editorial juliusjones’s life is spared but he shouldn’t have to spend the rest of it in prison deathpenalty,0.0,neutral
21,21,1463556461175324678,1463556461175324678,1637774026000.0,2021-11-24 12:13:46,-500,,“Justice for #JuliusJones has to be about more than not putting a needle in his arm.” #Oklahoma #deathpenalty ⁦@justice4julius⁩ ⁦@washingtonpost⁩   https://t.co/FSbM5jOR9z,en,"['juliusjones', 'oklahoma', 'deathpenalty']",[],200972080,200972080,dbaich,dale baich,3,12,https://twitter.com/dbaich/status/1463556461175324678,['https://www.washingtonpost.com/opinions/2021/11/23/julius-joness-life-is-spared-he-shouldnt-have-spend-rest-it-prison/'],[],0,,False,36,0,10,,None,,,,,,,[],,,,,“justice for juliusjones has to be about more than not putting a needle in his arm” oklahoma deathpenalty ⁦⁩ ⁦⁩ ,0.5,positive
22,22,1463551846476394511,1463551846476394511,1637772926000.0,2021-11-24 11:55:26,-500,,It is the second time prosecutors have declined to seek the death penalty against Wallace #StLouis #crime #deathpenalty   https://t.co/AGUkJoXhMT,en,"['stlouis', 'crime', 'deathpenalty']",[],2941165836,2941165836,BBarrouquere,That Writer Guy,3,11,https://twitter.com/BBarrouquere/status/1463551846476394511,['https://www.stltoday.com/news/feds-wont-seek-death-penalty-against-man-accused-of-two-st-louis-murders/article_144edd53-0f3c-52d8-8f2e-410266b28d78.html'],[],0,,False,0,0,0,,None,,,,,,,[],,,,,it is the second time prosecutors have declined to seek the death penalty against wallace stlouis crime deathpenalty ,0.0,neutral
23,23,1463547566193184771,1463547566193184771,1637771905000.0,2021-11-24 11:38:25,-500,,"The #deathpenalty is nothing more than an extension of life, taxes &amp; caretaking of said perp. Instead of waiting 20 + years for justice to work #CapAndCleanse is much better. In a world of instant gratification this is cheaper, sends a strong message &amp; lowers prison population",en,"['deathpenalty', 'capandcleanse']",[],91947456,91947456,MrAtkinss,🏴‍☠️MrAtkins🇺🇸,3,11,https://twitter.com/MrAtkinss/status/1463547566193184771,[],[],0,,False,5,1,1,https://twitter.com/sebgorka/status/1463366611801448452,None,,,,,,,[],,,,,the deathpenalty is nothing more than an extension of life taxes amp caretaking of said perp instead of waiting 20  years for justice to work capandcleanse is much better in a world of instant gratification this is cheaper sends a strong message amp lowers prison population,0.35833333333333334,positive
24,24,1463526690177437702,1463520587209314308,1637766928000.0,2021-11-24 10:15:28,-500,,"""𝐂𝐨𝐧𝐯𝐢𝐜𝐭 𝐍𝐚𝐧𝐡𝐮 𝐊𝐡𝐚𝐧 𝐛𝐞 𝐡𝐚𝐧𝐠𝐞𝐝 𝐛𝐲 𝐍𝐞𝐜𝐤 𝐭𝐢𝐥𝐥 𝐡𝐞 𝐢𝐬 𝐝𝐞𝐚𝐝"" : UP Court .  [The order is subject to confirmation by the High court as per the mandate of Section 366 CrPC.]  #Rape  #DeathPenalty  #DeathSentence  https://t.co/28vys1dAY9",en,"['rape', 'deathpenalty', 'deathsentence']",[],1255161552,1255161552,LiveLawIndia,Live Law,3,10,https://twitter.com/LiveLawIndia/status/1463526690177437702,[],['https://pbs.twimg.com/media/FE99RZqUcAEOts1.png'],1,https://pbs.twimg.com/media/FE99RZqUcAEOts1.png,False,52,2,10,,None,,,,,,,[],,,,,𝐂𝐨𝐧𝐯𝐢𝐜𝐭 𝐍𝐚𝐧𝐡𝐮 𝐊𝐡𝐚𝐧 𝐛𝐞 𝐡𝐚𝐧𝐠𝐞𝐝 𝐛𝐲 𝐍𝐞𝐜𝐤 𝐭𝐢𝐥𝐥 𝐡𝐞 𝐢𝐬 𝐝𝐞𝐚𝐝  up court  the order is subject to confirmation by the high court as per the mandate of section 366 crpc rape deathpenalty deathsentence ,-0.003333333333333327,neutral
25,25,1463522332157251588,1463522255644676101,1637765889000.0,2021-11-24 09:58:09,-500,,"Now, Session court’s this judgment will be referred to the High Court for confirmation of death sentence as per the requirement of section 366 of the Criminal Procedure Code, 1973. #deathpenalty #POCSO #bahraich #ChildProtection",en,"['deathpenalty', 'pocso', 'bahraich', 'childprotection']",[],1348597608499957760,1348597608499957760,LawBeatInd,LawBeat,3,9,https://twitter.com/LawBeatInd/status/1463522332157251588,[],[],0,,False,25,2,8,,None,,,,,,,[],,,,,now session court’s this judgment will be referred to the high court for confirmation of death sentence as per the requirement of section 366 of the criminal procedure code 1973 deathpenalty pocso bahraich childprotection,-0.12000000000000001,negative
26,26,1463479754485481479,1463479754485481479,1637755738000.0,2021-11-24 07:08:58,-500,,"Great work by @kelleyjhenry &amp; team -- A #Tennessee man has been spared from execution, yet his attorneys still want to prove his innocence #deathpenalty  https://t.co/L2crjdKN7F",en,"['tennessee', 'deathpenalty']",[],200972080,200972080,dbaich,dale baich,3,7,https://twitter.com/dbaich/status/1463479754485481479,['https://wpln.org/post/a-tennessee-man-has-been-spared-from-execution-yet-his-attorneys-still-want-to-prove-his-innocence/'],[],0,,False,11,0,1,,None,,,,,,,[],,,,,great work by amp team  a tennessee man has been spared from execution yet his attorneys still want to prove his innocence deathpenalty ,0.8,positive
27,27,1463457619855691776,1463457619855691776,1637750460000.0,2021-11-24 05:41:00,-500,,#NorthKorea | Student who allegedly brought digital copy of #SquidGame back from China sentenced to death  https://t.co/ETOhQeuDsO #deathpenalty  https://t.co/7RNN6ZybOK,en,"['northkorea', 'squidgame', 'deathpenalty']",[],389416911,389416911,WebDPN,Death Penalty News,3,5,https://twitter.com/WebDPN/status/1463457619855691776,['https://deathpenaltynews.blogspot.com/2021/11/north-korea-student-who-allegedly.html?spref=tw'],['https://pbs.twimg.com/media/FE8-vlLXIAElZ7p.jpg'],1,https://pbs.twimg.com/media/FE8-vlLXIAElZ7p.jpg,False,0,1,1,,None,,,,,,,[],,,,,northkorea  student who allegedly brought digital copy of squidgame back from china sentenced to death deathpenalty ,-0.03333333333333333,neutral
28,28,1463451894622429185,1463405866804293632,1637749095000.0,2021-11-24 05:18:15,-500,,@BBCNews How about saving millions of ££'s paid by taxpayers ( including victims' families) to keep the killer alive in jail? Those millions can help poverty and homeless. #DeathPenalty,en,['deathpenalty'],[],250712726,250712726,SameerHamadmad,Sameer Hamadmad,3,5,https://twitter.com/SameerHamadmad/status/1463451894622429185,[],[],0,,False,0,0,0,,None,,,,,,,"[{'screen_name': 'BBCNews', 'name': 'BBC News (UK)', 'id': '612473'}]",,,,, how about saving millions of ££s paid by taxpayers  including victims families to keep the killer alive in jail those millions can help poverty and homeless deathpenalty,0.0,neutral
29,29,1463450067151601670,1463450067151601670,1637748660000.0,2021-11-24 05:11:00,-500,,'Can't Set Outer Time Limit For Exercise Of Executive Power Of Pardon': #Karnataka High Court Refuses To Commute #DeathPenalty Sentence    https://t.co/mg2Iif3xFG,en,"['karnataka', 'deathpenalty']",[],1650318780,1650318780,ICADPin,India Against Death,3,5,https://twitter.com/ICADPin/status/1463450067151601670,['https://livelaw.in/news-updates/karnataka-high-court-umesh-reddy-challenge-death-sentence-executability-dismissed-mercy-petition-time-limit-186131'],[],0,,False,0,0,0,,None,,,,,,,[],,,,,cant set outer time limit for exercise of executive power of pardon karnataka high court refuses to commute deathpenalty sentence ,0.16,positive
30,30,1463438670208421892,1463438670208421892,1637745943000.0,2021-11-24 04:25:43,-500,,"A #Tennessee man has been spared from execution, yet his attorneys still want to prove his #innocence #PervisPayne #KelleyHenry #DeathPenalty  https://t.co/c6Sh1tRuD2 @WTIUSA @DeathPenaltyAct @RDunhamDPIC @WCADP @ICOMDP",en,"['tennessee', 'innocence', 'pervispayne', 'kelleyhenry', 'deathpenalty']",[],268557834,268557834,AgeorgesSkinner,S Ageorges-Skinner,3,4,https://twitter.com/AgeorgesSkinner/status/1463438670208421892,['https://bit.ly/3COJrO3'],[],0,,False,0,0,0,,None,,,,,,,[],,,,,a tennessee man has been spared from execution yet his attorneys still want to prove his innocence pervispayne kelleyhenry deathpenalty ,0.0,neutral
31,31,1463408501913534464,1463408501913534464,1637738750000.0,2021-11-24 02:25:50,-500,,"Justin Glad sinks the game-winning penalty kick to eliminate the Seattle Sounders, allowing Real Salt Lake to advance in the MLS playoffs.Source:  https://t.co/hLOvC9bACe  #Death #DeathPenalty #enmnews #Justin #playoffs #Salt #Seattle #Soccer   https://t.co/vDnR5wTHXc  https://t.co/qrBYTVKv2f",en,"['death', 'deathpenalty', 'enmnews', 'justin', 'playoffs', 'salt', 'seattle', 'soccer']",[],1088482863841005568,1088482863841005568,Newsenm,ENM News,3,2,https://twitter.com/Newsenm/status/1463408501913534464,"['http://foxsports.com', 'https://www.enmnews.com/2021/11/24/justin-glad-sinks-game-winning-sudden-death-penalty-kick-to-eliminate-seattle-real-salt-lake-advances/']",['https://pbs.twimg.com/media/FE8SRw2WUAA1YR4.jpg'],1,https://pbs.twimg.com/media/FE8SRw2WUAA1YR4.jpg,False,0,0,0,,None,,,,,,,[],,,,,justin glad sinks the gamewinning penalty kick to eliminate the seattle sounders allowing real salt lake to advance in the mls playoffssource death deathpenalty enmnews justin playoffs salt seattle soccer ,0.20000000000000004,positive
32,32,1463398133719834631,1463275143774539786,1637736278000.0,2021-11-24 01:44:38,-500,,@AmnestyIran Every mother and father needs to be assured the future of their children in #Iran. A guaranteed judicial system based on #HumanRights values will only be in reach for Iranians by ending the #deathpenalty forever.   https://t.co/v0mx6LtX5U,en,"['iran', 'humanrights', 'deathpenalty']",[],1032920346968707073,1032920346968707073,javanehha,Javanehha,3,1,https://twitter.com/javanehha/status/1463398133719834631,['https://en.javanehha.com/2021/11/urgent-child-offender-arman-abdolali-danger-or-execution-for-the-4th-time/'],[],0,,False,3,0,0,,None,,,,,,,"[{'screen_name': 'AmnestyIran', 'name': 'Amnesty Iran', 'id': '1515956552'}]",,,,, every mother and father needs to be assured the future of their children in iran a guaranteed judicial system based on humanrights values will only be in reach for iranians by ending the deathpenalty forever ,0.0,neutral
33,33,1463347133197783047,1463347133197783047,1637724118000.0,2021-11-23 22:21:58,-500,,Do not let the media brush this under the rug..   We live in a world where people defend domestic terrorists that have no regard for human life.  Wisconsin should reinstate the death penalty just to execute Darrell Brooks.  #WaukeshaMassacre  #deathpenalty #WhiteLivesMatter  https://t.co/Nzt5USKDjV,en,"['waukeshamassacre', 'deathpenalty', 'whitelivesmatter']",[],1431640564672471041,1431640564672471041,StraitWhiteMail,🇺🇸K9🇺🇸,2,22,https://twitter.com/StraitWhiteMail/status/1463347133197783047,[],['https://pbs.twimg.com/media/FE7adlHXMAk8k2s.jpg'],1,https://pbs.twimg.com/media/FE7adlHXMAk8k2s.jpg,False,3,1,4,,None,,,,,,,[],,,,,do not let the media brush this under the rug we live in a world where people defend domestic terrorists that have no regard for human life wisconsin should reinstate the death penalty just to execute darrell brooks waukeshamassacre deathpenalty whitelivesmatter ,0.04545454545454545,neutral
